flow_id,packet_count,label
11004797650,2,0
17916628991,5,0
21644809607,5,0
23885713285,1,0
26352589612,2,0
28086180535,15,0
30045347149,3,0
34711956520,3,0
41243277036,1,0
50338093513,2,0
57156307272,48,0
68892129826,1,0
73410564210,4,0
78103264344,480,0
87482328353,1,0
90117523493,1,0
97331393076,2,1
99817590608,2,0
100236917192,662,0
104376968160,1,0
111632868683,4,0
113255348584,1,0
114743839030,1,0
130296363172,1,0
142829508126,11,1
145966627970,1,0
157231172880,7,0
165487052070,1,0
173003863101,1,0
182267822456,4,0
184554202224,5,0
189779657040,1,0
213060408499,1,0
213089619332,1,0
220503383169,8,0
222070244213,1,0
233206329767,2,0
237171577739,1,0
249612649998,3,0
252116957699,12,0
260976249100,4,0
262359369944,2768,0
263101174448,1,0
274293765233,11,0
276047942662,18,0
278991726856,21,1
281665159315,16,0
284064111835,6,0
295855957720,3,0
301434928171,8,0
302754568201,12,0
312440087190,12,0
327513025389,3,0
329237968438,2,0
365634748557,1,0
369174415349,2,0
380384360881,146,0
383692191320,1,0
387325416102,1,0
391489428304,1,0
397193303533,1,0
401320667732,2,0
407247473287,2,0
411505806134,1,0
412432189468,4,0
412810754174,3,0
417254622814,2,0
422043514218,3,0
424291866459,2,0
427577193240,2,0
455782327957,3,0
473353041623,18,0
475294830694,1,0
476298276971,8,0
480703396583,7,0
490859689259,1,0
497722802330,5,0
504247013847,25,0
507702487510,12,1
508821812349,2,0
512637488493,4,0
513498172498,6,0
515718981367,2,0
518748836333,1,0
518962207090,2,0
526251314813,1,0
532778937595,12,0
533353600887,2,0
536137004870,3,0
537623196691,1,0
539407046422,1,0
540555840390,12,0
542598705811,14,0
543267146935,1,0
547552392783,11,0
548749088658,11,1
552536176247,4,0
567814888858,2,0
571622522415,3,0
571768861488,1,0
577174947419,4,0
584713341373,1,0
600223176871,1,0
604570261837,1,0
614250290559,16861,0
624192693475,2,0
624546301025,7,0
625637810922,1,0
645759429345,4,0
647715127851,2,0
656625386080,2,0
675930584740,23,0
680926617719,5,0
683680057630,1,0
696336539004,16,0
705633744200,11,0
706280423632,2,0
707961824526,2,0
709779501366,240,0
711622606619,2,0
716752663431,1,0
718473536910,1,0
721387970990,3,0
730440154697,6,0
738458778608,2,0
748305349459,1,0
759069737710,14,0
772942674352,2,0
777653214909,2,0
784387817830,1,0
791826954320,1,0
810583831144,9,0
826585269098,3,0
843087458650,4,0
844415867816,4,0
844730139357,2,0
847956137504,1,0
849467441964,554,0
853467395163,1,0
857672161650,1,0
859842577854,2,0
859852275313,1,0
860113074399,12,0
861709447985,1,0
862288382427,3,0
863093538500,2,0
882143877153,4,0
898318937195,1,0
909221827314,1,0
930370059285,2,0
934351326262,1,0
938742394347,1,0
940418180624,1,0
941384292436,5,0
942606407474,2,0
954921677514,1,0
960420561425,12,0
961560695888,504,0
963578636585,1,0
963760526013,1,0
982126198008,51,0
984361810054,6,0
994511490700,1,0
997378645336,2,0
1010610685766,3,0
1019277158899,31059,0
1050093806818,2,0
1051390943099,2,0
1060906436493,22,0
1078220755032,4,0
1079046766372,1,0
1081907940238,1,0
1085708728602,2,0
1088745644735,4,0
1092321046251,15,0
1093554511894,420,0
1101733357897,2,0
1107995348127,8,0
1108824160637,1,0
1111136138215,1,0
1114710681393,2,0
1118534212336,3,0
1132083976743,2047,1
1138160951748,7749,0
1140268192704,1,0
1141525937822,1,0
1162100174530,2,1
1162451243290,2,0
1164915739669,1,0
1165944706866,2,0
1167944352880,2,0
1175898962073,1,0
1180099497270,1,0
1185494685495,2,0
1186438069823,1,0
1195404043616,6,0
1204524945580,2,0
1211823070806,1,0
1212503578764,1,0
1218850621584,7,0
1222298689555,4,0
1224284277588,2,0
1227211905815,2,0
1236371943916,1,0
1238065655035,2,0
1238104184080,1,0
1248222510483,1,0
1249250474622,1,0
1251169736211,2,0
1252341504317,8,0
1254996635332,11,0
1258436050436,2,0
1259152014886,3,0
1269642021885,4,0
1281370147894,7,0
1283388905922,466,0
1287379645494,1,0
1294830641856,2,0
1306494563679,13,0
1321398806255,75,0
1330488702668,1,0
1332009398179,7,0
1336978318612,6,0
1351276930286,6,0
1358010869416,17,0
1358444602706,1,0
1359921711785,3,0
1360916754740,1,0
1369039575753,121,0
1370877382385,1,0
1377655297614,3,0
1380820221052,2,0
1382192972540,1,0
1385108537273,1,0
1386361144201,9,0
1398903606802,1,0
1401389931853,1,0
1405150655164,1,0
1409567338921,6,1
1423276113567,5,0
1423797304205,65,0
1439485505828,2,0
