flow_id,label,split,flow_start_timestamp_us,source_id,destination_id
1051309583220737,0,train,1778495267572457,185.41.138.21,93.117.197.154
1051317253927420,0,train,1778495267572458,185.41.137.166,87.237.24.14
1051373452737065,0,train,1778495267572471,185.239.63.101,57.153.239.60
1051377875119426,1,train,1778495267572472,185.239.61.64,52.112.152.192
1051442849726355,0,train,1778495267572488,212.8.253.154,185.239.61.74
1051488908528405,0,train,1778495267572498,185.41.137.83,167.94.38.166
1051491533128249,0,train,1778495267572499,57.144.241.33,185.41.139.28
1051494446447912,0,train,1778495267572500,185.239.63.201,195.35.114.104
1051502734496192,0,train,1778495267572502,185.239.62.24,136.244.109.84
1051503505125772,0,train,1778495267572502,185.41.137.83,216.245.88.142
1051626948124517,0,train,1778495267572530,185.41.137.75,13.107.136.10
1051629576530779,0,train,1778495267572531,149.210.205.204,185.239.60.185
1051633207362060,0,train,1778495267572532,208.103.161.1,185.41.137.67
1051716216594887,0,train,1778495267572551,185.239.62.42,188.90.0.218
1051717964777409,0,train,1778495267572552,46.243.197.195,185.41.139.192
1051770603607499,0,train,1778495267572564,157.240.27.54,185.41.138.92
1051875489133468,0,train,1778495267572588,130.117.53.108,185.239.61.95
1051934820944858,0,train,1778495267572602,195.121.69.212,185.239.60.204
1052045492270349,0,train,1778495267572628,185.41.137.61,194.36.32.204
1052083779165295,0,train,1778495267572637,185.239.61.152,142.251.127.92
1052088048561343,0,train,1778495267572638,185.239.61.66,52.105.188.53
1052143970790092,0,train,1778495267572651,185.239.61.152,142.250.154.95
1052183527531601,0,train,1778495267572660,185.239.61.152,142.251.20.93
1052242009294129,0,train,1778495267572674,17.253.53.205,185.41.138.50
1052243533292035,0,train,1778495267572674,54.171.97.135,185.41.137.24
1052246643320432,0,train,1778495267572675,157.240.27.54,185.41.138.92
1052333714665206,0,train,1778495267572695,17.253.53.205,185.239.62.22
1052338580360538,0,train,1778495267572696,63.180.79.67,185.239.62.26
1052345482392024,0,train,1778495267572698,107.155.103.170,185.239.63.156
1052351187237496,1,train,1778495267572699,74.125.250.248,185.41.137.67
1052498078177676,0,train,1778495267572733,10.10.255.24,185.41.136.103
1052508409898689,0,train,1778495267572736,185.239.61.137,142.251.127.95
1052513749024033,0,train,1778495267572737,68.183.0.224,185.239.63.188
1052521263320478,0,train,1778495267572739,5.255.69.91,185.239.63.192
1052529423505302,0,train,1778495267572741,185.239.63.204,185.212.232.121
1052628241218730,0,train,1778495267572764,157.240.27.52,185.239.60.192
1052641735296192,0,train,1778495267572767,185.239.61.141,3.173.161.115
1052715758885740,0,train,1778495267572784,2.16.106.222,185.239.63.188
1052879423922113,0,train,1778495267572822,185.239.60.215,52.111.243.4
1052884017763523,0,train,1778495267572823,74.178.130.41,185.239.60.23
1052887718376994,0,train,1778495267572824,8.8.4.4,185.41.138.28
1053013900313013,0,train,1778495267572853,77.111.102.202,185.239.62.136
1053235951187075,0,train,1778495267572905,185.239.61.66,51.89.98.179
1053239388349766,0,train,1778495267572906,185.239.63.22,17.253.57.61
1053245210413567,0,train,1778495267572907,185.239.62.22,17.248.236.68
1053681221782241,0,train,1778495267573009,151.101.36.217,185.239.60.156
1053840009838028,0,train,1778495267573046,2.19.126.152,185.239.63.90
1053851581373381,0,train,1778495267573048,185.41.137.215,23.103.224.111
