feature,pearson_corr_with_label,abs_corr
init_win_bytes_forward,0.30721320540888425,0.30721320540888425
init_win_bytes_backward,0.26160499993677344,0.26160499993677344
bwd_packet_length_std,0.2542344608656594,0.2542344608656594
bwd_packet_length_max,0.25364702011198864,0.25364702011198864
fwd_iat_std,0.24620853098619347,0.24620853098619347
max_packet_length,0.20644949907445162,0.20644949907445162
bwd_iat_max,0.16960287516683886,0.16960287516683886
packet_length_std,0.16851062546482234,0.16851062546482234
bwd_packet_length_mean,0.16732149065248317,0.16732149065248317
avg_bwd_segment_size,0.16732149065248317,0.16732149065248317
bwd_iat_std,0.166484309416547,0.166484309416547
flow_iat_std,0.1644822953837366,0.1644822953837366
fwd_iat_max,0.1473270154669962,0.1473270154669962
fwd_iat_total,0.1472308040008708,0.1472308040008708
flow_iat_max,0.1438902580360592,0.1438902580360592
flow_duration,0.14382927046541344,0.14382927046541344
packet_length_variance,0.13948534595881396,0.13948534595881396
bwd_iat_total,0.13831329416483665,0.13831329416483665
source_port,0.13036396290772945,0.13036396290772945
active_max,0.12941607476409453,0.12941607476409453
active_mean,0.12881138936036288,0.12881138936036288
active_min,0.12820267047002362,0.12820267047002362
fwd_packet_length_max,0.11953696652977899,0.11953696652977899
fin_flag_count,0.11453214171315605,0.11453214171315605
syn_flag_count,0.10958667336440236,0.10958667336440236
active_std,0.09968190323475808,0.09968190323475808
fwd_packet_length_std,0.09606211450771826,0.09606211450771826
average_packet_size,0.08811899205390779,0.08811899205390779
packet_length_mean,0.08811899205390779,0.08811899205390779
destination_port,-0.08767553791491745,0.08767553791491745
down_up_ratio,0.06986536014450753,0.06986536014450753
rst_flag_count,0.06098336388231723,0.06098336388231723
fwd_iat_min,-0.052961093551799315,0.052961093551799315
flow_iat_min,-0.052461474088586334,0.052461474088586334
idle_mean,0.047148656263336475,0.047148656263336475
idle_min,0.047148656263336475,0.047148656263336475
idle_max,0.047148656263336475,0.047148656263336475
bwd_iat_mean,0.04533675289144503,0.04533675289144503
flow_iat_mean,-0.036080639558042124,0.036080639558042124
ece_flag_count,0.03065581357288383,0.03065581357288383
protocol,-0.027407411430475096,0.027407411430475096
cwe_flag_count,0.025001110570253324,0.025001110570253324
fwd_packet_length_min,-0.021771217588711513,0.021771217588711513
bwd_iat_min,-0.018263518249911338,0.018263518249911338
bwd_header_length,0.017872410670529023,0.017872410670529023
fwd_packet_length_mean,0.01774735844088498,0.01774735844088498
avg_fwd_segment_size,0.01774735844088498,0.01774735844088498
total_backward_packets,0.017047835849841066,0.017047835849841066
fwd_iat_mean,-0.015572122917470803,0.015572122917470803
bwd_packets_per_s,-0.01553689827422668,0.01553689827422668
total_length_of_bwd_packets,0.011714437787434797,0.011714437787434797
total_fwd_packets,0.010176145803124476,0.010176145803124476
fwd_header_length,0.00927008991268509,0.00927008991268509
bwd_psh_flags,0.006728203377239457,0.006728203377239457
min_seg_size_forward,0.006605613739909632,0.006605613739909632
flow_packets_per_s,-0.006234497966533229,0.006234497966533229
fwd_packets_per_s,-0.006044629613948306,0.006044629613948306
psh_flag_count,0.005815175352655516,0.005815175352655516
ack_flag_count,0.004709794671508008,0.004709794671508008
min_packet_length,-0.00453564947076989,0.00453564947076989
flow_bytes_per_s,-0.0041294001565867836,0.0041294001565867836
total_length_of_fwd_packets,0.0031838217873780216,0.0031838217873780216
fwd_psh_flags,0.0015237491919054531,0.0015237491919054531
act_data_pkt_fwd,-0.0014083778353107409,0.0014083778353107409
fwd_urg_flags,-0.001336524732656074,0.001336524732656074
urg_flag_count,-0.001267935412361072,0.001267935412361072
bwd_packet_length_min,-0.0010586922115273097,0.0010586922115273097
bwd_urg_flags,-0.0009450534819818865,0.0009450534819818865
