flow_id,label,split,flow_start_timestamp_us,source_id,destination_id
522872073268161,1,train,1753970809973708,217.119.239.34,185.239.61.64
522920726303049,0,train,1753970809973719,10.10.255.12,185.41.136.103
522928050697957,0,train,1753970809973721,185.239.61.114,37.97.197.2
522965544382314,1,train,1753970809973730,52.112.214.72,185.239.62.10
522968947027534,0,train,1753970809973731,185.239.62.210,17.248.236.64
522973799529533,0,train,1753970809973732,185.41.137.199,31.160.45.205
522976487647261,0,train,1753970809973732,185.41.137.234,18.239.69.15
523034679061968,0,train,1753970809973746,3.5.139.221,185.41.139.149
523086640971520,0,train,1753970809973758,185.239.62.210,17.188.185.135
523143587139864,0,train,1753970809973771,44.236.84.172,185.239.62.132
523300052825289,0,train,1753970809973808,185.239.63.204,154.59.104.51
523350310242382,0,train,1753970809973819,74.125.11.6,185.239.62.27
523354033541714,0,train,1753970809973820,185.41.137.26,8.8.8.8
523452216736372,0,train,1753970809973843,57.144.222.192,185.239.63.199
523541313315348,0,train,1753970809973864,46.137.113.78,185.239.60.68
523541920707557,0,train,1753970809973864,34.240.115.208,185.239.62.26
523602641789433,0,train,1753970809973878,208.92.53.70,185.239.63.171
523607366724881,0,train,1753970809973879,185.41.138.137,216.58.206.42
523608144145139,0,train,1753970809973880,8.211.44.35,185.41.139.76
523656402343973,0,train,1753970809973891,142.250.186.97,185.41.138.37
523658243279541,0,train,1753970809973891,104.29.153.174,185.239.62.22
523767626206878,0,train,1753970809973917,185.41.136.103,10.10.255.30
523768805048025,0,train,1753970809973917,185.41.139.105,149.143.25.9
523815288038617,0,train,1753970809973928,17.248.176.8,185.239.62.239
523815918670273,0,train,1753970809973928,185.41.137.252,62.133.76.250
523819156376671,0,train,1753970809973929,185.41.138.35,8.8.8.8
523823776951454,0,train,1753970809973930,17.188.172.74,185.41.138.92
523886958236390,0,train,1753970809973944,185.41.137.24,3.255.31.46
523923094006213,0,train,1753970809973953,57.144.222.192,185.239.62.228
524032421023411,0,train,1753970809973978,37.235.80.237,185.41.137.94
524550205409518,0,train,1753970809974099,37.97.197.2,185.239.61.114
524611251687018,0,train,1753970809974113,185.239.61.175,178.230.252.121
524691468349340,0,train,1753970809974132,20.31.8.97,185.41.139.245
524738389650653,0,train,1753970809974143,157.240.201.63,185.239.62.228
524886249856723,0,train,1753970809974177,157.240.201.63,185.41.137.10
524942191490543,0,train,1753970809974190,23.53.245.63,185.239.63.18
525048804183244,0,train,1753970809974215,185.239.61.134,92.70.153.218
525378800423699,0,train,1753970809974292,185.239.61.161,109.236.91.129
525380885940042,0,train,1753970809974292,185.239.60.194,46.31.50.55
525452112502030,0,train,1753970809974309,185.239.62.20,84.241.172.66
525559966005790,1,train,1753970809974334,185.239.60.18,18.157.234.83
525563236346684,0,train,1753970809974335,83.86.9.11,185.239.62.27
526026700307400,0,train,1753970809974443,185.239.60.134,77.170.8.228
526091461760222,0,train,1753970809974458,87.237.24.14,185.239.61.50
526096892609320,0,train,1753970809974459,185.41.138.50,23.103.224.71
526262884356825,0,train,1753970809974498,185.239.60.194,46.31.51.51
526503208532919,0,train,1753970809974554,185.239.60.194,46.31.51.51
526660772455624,0,train,1753970809974590,195.181.170.81,185.239.60.132
526775619752744,0,train,1753970809974617,216.58.206.66,185.239.61.26
526785292057253,0,train,1753970809974619,142.250.186.138,185.239.62.22
526831409828553,1,train,1753970809974630,52.112.214.88,185.239.62.10
526835420654018,0,train,1753970809974631,185.239.63.188,195.35.115.105
526841990264685,0,train,1753970809974632,142.250.186.140,185.239.63.185
526845482563834,0,train,1753970809974633,185.239.60.247,150.171.28.11
